stationReference,lat,long
023001,54.94992,-1.940633
43121,50.974908,-1.978577
48174,50.26009,-5.279378
022017,55.167634,-1.6945
E22374,52.357278,0.418569
46121,50.544315,-3.499054
L0407,53.326618,-1.516187
2830,52.735118,-2.960681
49121,50.477206,-4.595304
45137,50.775566,-3.718339
L0903,53.61394,-0.990666
4192TH,51.428571,-0.187677
0008,51.484369,-0.149631
48137,50.229401,-5.120933
E60701,52.053714,-0.855119
4314TH,51.385199,0.047688
L2325,54.363181,-1.418526
680504,53.165868,-2.494907
F1306,53.688481,-1.634418
E9740,50.806886,-0.543902
2195TH,51.462237,-1.077263
E2125,52.442977,-0.492641
L1206,53.741165,-2.027245
E24835,52.612266,1.434411
E13281,50.919652,-1.447963
5039TH,51.884165,0.09127
024023,54.62791,-1.7258
1102TH,51.761748,-1.362413
023039,54.973701,-2.105879
43159,51.062826,-1.779755
4067,52.880685,-1.346428
46159,50.529998,-3.614031
E1502,53.38885,-0.330909
2490TH,51.484806,-0.880942
44106,50.569876,-2.441027
700295,53.583885,-2.637387
4192,52.762225,-0.889833
L2005,53.912329,-1.418426
692115,53.445001,-1.964573
E21195,52.412682,0.762195
768001,54.661143,-2.747001
50125,50.907767,-3.863651
E72039,50.608501,-2.447945
E72024,50.6085,-2.44794
4155,52.896019,-0.962231
L3806,54.473986,-1.173419
2102,51.850206,-2.336612
53125,51.380436,-2.506812
E2900,53.213742,-0.55188
4118,53.233981,-1.032134
43112,51.1839,-2.132143
E15250,51.423959,0.230865
2486TH,51.40345,-0.836924
45128,50.716251,-3.527368
48128,50.264906,-5.060481
L1605,53.840066,-1.789021
E1442,53.677267,-0.525433
E41137,52.571947,1.738433
E8190,50.989456,0.127659
F3707,54.650589,-1.508677
2698TH,51.491873,-0.604104
52229,51.282166,-2.768948
E71639,51.114372,1.322641
E71624,51.11439,1.32267
E24367,52.27627,-0.223832
700309,53.577223,-2.72144
2420_w1TH,51.381826,-0.966655
1453TH,51.920573,-1.306366
750604,54.561659,-3.068796
1483TH,51.861059,-1.119228
E4405,53.00001,-0.427906
45216,50.682142,-3.235982
47171,50.641712,-4.362839
024014,54.62006,-1.868327
E1530,51.107299,0.139866
L2404,53.952302,-1.078455
2201TH,51.460811,-0.963635
E42196,52.315823,1.670054
