dateTime,measure,value
2022-11-25T00:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/9415SO-level-groundwater-i-1_h-mAOD,55.259
2022-11-25T00:15:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/279941TP-rainfall-tipping_bucket_raingauge-t-15_min-mm,0.0
2022-11-25T00:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4682-level-stage-i-15_min-mASD,0.226
2022-11-25T01:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4679-level-stage-i-15_min-mASD,0.641
2022-11-25T02:45:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4677-level-stage-i-15_min-mASD,0.342
2022-11-25T03:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/2451TH-level-stage-i-15_min-mASD,0.421
2022-11-25T03:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/3057TH-level-stage-i-15_min-mASD,4.396
2022-11-25T03:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/2758TH-level-stage-i-15_min-mAOD,16.108
2022-11-25T03:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/762510-level-stage-i-15_min-m,0.084
2022-11-25T03:00:18Z,http://environment.data.gov.uk/flood-monitoring/id/measures/2758TH-level-height-i-15_min-m,0.344
2022-11-25T03:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/2758TH-level-downstage-i-15_min-mAOD,15.764
2022-11-25T03:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/3057TH-level-downstage-i-15_min-mASD,3.460
2022-11-25T03:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/SJ46_114-level-groundwater-i-1_h-m,1.472
2022-11-25T03:30:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/700390-level-stage-i-15_min-m,0.356
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/48142-level-sump_level-i-15_min-m,0.700
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/44147-level-stage-i-15_min-m,-0.039
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/2268-level-stage-i-15_min-mASD,0.572
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/50119-level-stage-i-15_min-m,0.493
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/43126-level-stage-i-15_min-m,0.238
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/43218-flow-1-i-15_min-m3_s,1.098
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/48143-level-downstage-i-15_min-mASD,-13.007
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/44221-level-stage-i-15_min-m,0.183
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/47119-level-stage-i-15_min-m,0.536
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/50182-wind-direction-i-15_min-deg,272.500
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/44146-flow-1-i-15_min-m3_s,1.550
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/47123-level-stage-i-15_min-m,1.432
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/49117-level-stage-i-15_min-m,0.346
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/45180-level-stage-i-15_min-m,0.899
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/43229-flow-1-i-15_min-m3_s,0.000
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/46130-level-stage-i-15_min-m,0.593
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/2514-level-stage-i-15_min-mASD,1.009
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/47120-level-stage-i-15_min-m,0.281
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/46121-level-tidal_level-i-15_min-mAOD,0.458
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/45218-level-stage-i-15_min-m,0.400
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E31329-level-stage-i-15_min-mAOD,50.608
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/44216-level-stage-i-15_min-m,0.212
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/46126-level-stage-i-15_min-m,0.726
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/50143-level-stage-i-15_min-m,1.999
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/50135-level-stage-i-15_min-m,0.563
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4252-level-downstage-i-15_min-mASD,0.067
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/47115-level-stage-i-15_min-m,1.415
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/48127-level-stage-i-15_min-m,0.567
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/44220-level-stage-i-15_min-m,0.141
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/49124-level-1-i-15_min-m,1.011
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/43108-level-stage-i-15_min-mASD,0.873
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/45221-level-stage-i-15_min-m,0.374
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/43235-flow-1-i-15_min-m3_s,50.120
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/46117-level-stage-i-15_min-m,0.568
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/48137-level-stage-i-15_min-m,1.040
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/2269-level-stage-i-15_min-mASD,0.310
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/48123-level-stage-i-15_min-m,0.434
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/46111-level-stage-i-15_min-m,0.433
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/48114-level-stage-i-15_min-m,0.897
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/49122-level-tidal_level-i-15_min-m,2.424
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/45187-level-stage-i-15_min-m,0.106
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/43158-level-stage-i-15_min-m,0.051
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/43215-level-stage-i-15_min-mAOD,1.230
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/48107-level-stage-i-15_min-m,0.428
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/50131-level-stage-i-15_min-m,0.381
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/2667-level-stage-i-15_min-mASD,0.420
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/48116-level-stage-i-15_min-m,0.310
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/50117-level-stage-i-15_min-m,1.408
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/45129-level-stage-i-15_min-m,0.111
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/44219-level-stage-i-15_min-m,0.191
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/47128-level-stage-i-15_min-m,0.867
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/43213-level-stage-i-15_min-m,0.956
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/SX56F056-flow-water-i-15_min-m3_s,0.000
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/44109-level-stage-i-15_min-m,0.271
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/48109-level-stage-i-15_min-m,0.083
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/44107-level-stage-i-15_min-mASD,0.450
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/44121-level-stage-i-15_min-m,0.237
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/2206-level-stage-i-15_min-mASD,0.282
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/47125-level-stage-i-15_min-m,0.682
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/47141-level-stage-i-15_min-m,0.484
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/44149-level-stage-i-15_min-m,0.386
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E49234-level-stage-i-15_min-m,0.726
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/50133-level-stage-i-15_min-m,0.875
